ticker,total_days,train_days,test_days,rows_removed,rmse,mae,r2,direction_accuracy,current_price,predicted_price,change_pct,trend,categories
AAT,1026,820,206,10,0.7847063530166649,0.736439721051929,-7.2475985092150115,0.39805825242718446,2.98,4.154135,39.40051097997883,UP,bottom_r2
ACM,2270,1816,454,19,0.04392091706080337,0.03199002123089088,0.8190497366021493,0.7158590308370044,0.7,0.62904304,-10.13670819146292,DOWN,lowest_rmse
AGM,2948,2358,590,141,2.138297051557311,1.6598904739638507,0.914112511166113,0.4186440677966102,1.69,6.29752,272.6343290340266,UP,highest_rise
AGX,1514,1211,303,906,47.07655987148219,35.773505945992554,-1.3278646716465219,0.7458745874587459,158.0,37.70316,-76.13724092893963,DOWN,"highest_fall, highest_rmse"
BHG,40,32,8,1394,0.05039844038273217,0.049163103103637695,0.0,0.0,11.0,11.05761,0.5237232555042614,UP,lowest_dir_accuracy
BSA,1640,1312,328,10,4.024419931783035,3.739526767032902,-6.184742449993869,0.698170731707317,22.2,17.011736,-23.370558936316684,DOWN,bottom_r2
CAD,2749,2199,550,219,0.046972645139440744,0.026823846047574835,0.9829261476137292,0.509090909090909,0.6,0.57022434,-4.962609211603796,DOWN,lowest_rmse
CDG,133,106,27,1726,0.5992402871962709,0.468530784006472,0.3855269933215746,0.0,3.4,3.0630567,-9.910096841699936,DOWN,lowest_dir_accuracy
CMF,1058,846,212,1048,67.98664757378828,61.09198739393703,-3.519352217800548,0.6981132075471698,319.0,244.12416,-23.472049916425842,DOWN,highest_rmse
CVN,3427,2741,686,68,0.24540886025275005,0.1498819296631104,0.9936941318661412,0.641399416909621,1.9,1.8576617,-2.2283303110223023,DOWN,top_r2
DDG,1589,1271,318,10,2.313654234148129,2.1636311054229735,-7.255156364800573,0.23270440251572327,2.8,5.6576233,102.05797467912947,UP,bottom_r2
DHT,4094,3275,819,12,32.22174391122048,18.634452540918147,-0.34323562285947706,0.5592185592185592,83.0,18.763128,-77.39382134862693,DOWN,highest_fall
DKC,94,75,19,917,0.2934418581003213,0.2741319353956925,-3.9386789099199637,0.05263157894736842,0.7,0.79877263,14.110376153673451,UP,lowest_dir_accuracy
DPS,2020,1616,404,285,0.03506614278845498,0.023079205680601678,0.9419806183816218,0.4207920792079208,0.3,0.30777812,2.5927066802978556,UP,lowest_rmse
DTL,3561,2848,713,137,0.5101806492997559,0.3414029679157958,0.9959410202162509,0.5189340813464236,10.85,10.817937,-0.2955124674854158,DOWN,top_r2
FCC,59,47,12,1999,0.015750885009765625,0.015750885009765625,0.0,0.0,10.0,10.015751,0.15750885009765625,UP,"lowest_rmse, lowest_dir_accuracy"
FGL,41,32,9,1431,0.6104684512212161,0.3568818622165257,-0.2609193870029589,0.1111111111111111,10.1,10.147891,0.4741687585811839,UP,lowest_dir_accuracy
